[21-Jan-2011 20:41:03] [4d3a43bfbcd40] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:41:30] [4d3a43da15ef6] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:48:57] [4d3a45994eadc] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:50:11] [4d3a45e3a3514] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:52:08] [4d3a465837505] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:52:32] [4d3a46707ac94] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:55:18] [4d3a47168c6de] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:56:27] [4d3a475b9af8f] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
[21-Jan-2011 20:56:54] [4d3a477690b87] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [NO COOKIES] [NO REFERER] [USER-AGENT:Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)]
[21-Jan-2011 20:56:59] [4d3a477b07644] [] [Anonymous] [127.0.0.1] GET http://localhost/monoql/ [NO POST] [NO FILES] [COOKIES:ZDEDebuggerPresent=php,phtml,php3] [NO REFERER] [USER-AGENT:Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)]
